epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.5821669101715088,1.2043578624725342,0.5924486517906189,1.587263822555542,0.0010000000474974513
2,0.7969586849212646,0.6679806709289551,0.6568573117256165,1.137963056564331,0.0009900990407913923
3,0.8512182235717773,0.4731428921222687,0.7673514485359192,0.6725689172744751,0.0009803922148421407
4,0.8868152499198914,0.3583166003227234,0.8645197153091431,0.407976359128952,0.0009708738070912659
5,0.9049593806266785,0.2917071580886841,0.9305940866470337,0.2664436101913452,0.000961538462433964
6,0.9134266376495361,0.2504989504814148,0.9516934752464294,0.21448393166065216,0.0009523809421807528
7,0.9215483069419861,0.22139829397201538,0.9489172697067261,0.20741668343544006,0.0009433962404727936
8,0.9265595078468323,0.20112939178943634,0.9533592462539673,0.1945582628250122,0.0009345794678665698
9,0.9298427700996399,0.18677528202533722,0.9483619928359985,0.20071721076965332,0.0009259259095415473
10,0.932780385017395,0.17659606039524078,0.9394780397415161,0.20438522100448608,0.0009174311999231577
11,0.935890793800354,0.1689056009054184,0.9339255690574646,0.20644672214984894,0.0009090909152291715
12,0.9383100271224976,0.16290022432804108,0.9355913400650024,0.20293524861335754,0.0009009009227156639
13,0.9388284087181091,0.15809063613414764,0.9328150749206543,0.20786482095718384,0.0008928571478463709
14,0.9391739964485168,0.15407489240169525,0.942809522151947,0.19981230795383453,0.0008849557489156723
15,0.9403836131095886,0.1502440720796585,0.9455857872962952,0.1951356679201126,0.0008771930006332695
16,0.942111611366272,0.14692898094654083,0.9483619928359985,0.1790168285369873,0.0008695652359165251
17,0.9422844052314758,0.14399674534797668,0.9516934752464294,0.18189650774002075,0.0008620689623057842
18,0.9419388175010681,0.14065062999725342,0.9516934752464294,0.17280396819114685,0.0008547008619643748
19,0.9434940218925476,0.13760651648044586,0.9550249576568604,0.16532117128372192,0.0008474576170556247
20,0.9447036385536194,0.13483355939388275,0.957245945930481,0.16055051982402802,0.0008403361425735056
21,0.9443580508232117,0.13230867683887482,0.9583564400672913,0.15855616331100464,0.0008333333535119891
22,0.9453948736190796,0.1297510862350464,0.9561354517936707,0.1588427573442459,0.0008264462812803686
23,0.9455676674842834,0.12703071534633636,0.9561354517936707,0.15759609639644623,0.0008196721319109201
24,0.9464316368103027,0.12473922967910767,0.957245945930481,0.15699167549610138,0.00081300811143592
25,0.9472956657409668,0.12257610261440277,0.9589117169380188,0.15530246496200562,0.000806451600510627
26,0.9490236639976501,0.12074481695890427,0.9600222110748291,0.15335208177566528,0.0007999999797903001
27,0.9495421051979065,0.11904081702232361,0.9605774283409119,0.15086399018764496,0.0007936508045531809
28,0.9493692517280579,0.11737258732318878,0.9622431993484497,0.1476631909608841,0.0007874015718698502
29,0.9502332806587219,0.11563868075609207,0.9622431993484497,0.14261628687381744,0.0007812500116415322
30,0.9504060745239258,0.11429204791784286,0.9622431993484497,0.1397140622138977,0.0007751937955617905
31,0.9507516622543335,0.11301688849925995,0.9622431993484497,0.13894367218017578,0.0007692307699471712
32,0.9514428973197937,0.11186251044273376,0.96335369348526,0.13846585154533386,0.0007633587811142206
33,0.9516156911849976,0.11078408360481262,0.9627984166145325,0.13866916298866272,0.0007575757335871458
34,0.9516156911849976,0.10973207652568817,0.96335369348526,0.13898319005966187,0.0007518797065131366
35,0.9521340727806091,0.10870833694934845,0.9616879224777222,0.1392887681722641,0.0007462686626240611
36,0.9524797201156616,0.107675701379776,0.9622431993484497,0.13892894983291626,0.00074074073927477
37,0.9526525139808655,0.1066087931394577,0.9622431993484497,0.14041729271411896,0.000735294132027775
38,0.9529981017112732,0.10563670843839645,0.9594669342041016,0.14108505845069885,0.000729926978237927
39,0.9540349245071411,0.10464775562286377,0.9583564400672913,0.14062228798866272,0.0007246377062983811
40,0.9545533061027527,0.10375167429447174,0.9583564400672913,0.14041544497013092,0.0007194244535639882
