epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6604215502738953,0.0010000000474974513,0.5860706567764282,0.662409782409668,0.9733344316482544
1,0.8310214281082153,0.0009900990407913923,0.22868852317333221,0.7984452843666077,0.5952227115631104
2,0.8760583400726318,0.0009803922148421407,0.14459288120269775,0.8911715745925903,0.262371301651001
3,0.9023599624633789,0.0009708738070912659,0.1001356914639473,0.952248752117157,0.11556404083967209
4,0.9144298434257507,0.000961538462433964,0.07680214941501617,0.9727928638458252,0.06732983887195587
5,0.9216357469558716,0.0009523809421807528,0.06389956176280975,0.9766796231269836,0.05383092537522316
6,0.9274004697799683,0.0009433962404727936,0.05628468468785286,0.9761243462562561,0.0496210977435112
7,0.9302828311920166,0.0009345794678665698,0.05127708986401558,0.9689061641693115,0.04875914752483368
8,0.9337056279182434,0.0009259259095415473,0.04758307710289955,0.9661298990249634,0.04902661219239235
9,0.9355071187019348,0.0009174311999231577,0.04483497515320778,0.9644641876220703,0.04929785057902336
10,0.9371284246444702,0.0009090909152291715,0.042727284133434296,0.9611327052116394,0.048988621681928635
11,0.9373086094856262,0.0009009009227156639,0.04104369506239891,0.9605774283409119,0.04902120679616928
12,0.9387497901916504,0.0008928571478463709,0.039701204746961594,0.9583564400672913,0.04995787516236305
13,0.9394703507423401,0.0008849557489156723,0.03858112171292305,0.9583564400672913,0.05103611573576927
14,0.9403710961341858,0.0008771930006332695,0.03750770539045334,0.9550249576568604,0.051772940903902054
15,0.9400107860565186,0.0008695652359165251,0.03661955147981644,0.9533592462539673,0.05280983820557594
